EncoderAtt,DecoderAtt,B,H,lr,Optimizer,Epoch,UnseenCnt,MissedClass,WrongCount,UnseenClass
true,false,1,256,0.001,Rmsprop,30,13,2,6,7
true,false,1,256,0.1,SGD,20,20,2,6,7
false,false,8,128,0.001,Rmsprop,20,20,2,6,7
false,false,2,128,0.1,SGD,30,17,2,6,7
false,false,8,128,0.1,SGD,10,22,2,6,7
true,false,8,256,0.1,Rmsprop,10,16,2,7,7
false,false,8,256,0.1,SGD,10,17,2,7,7
false,false,1,128,0.001,Adam,30,16,2,7,7
true,false,16,128,0.001,Adam,30,13,2,8,7
false,false,2,128,0.1,SGD,10,13,2,9,7
false,false,8,256,0.001,Adam,30,11,2,10,7
false,false,4,256,0.001,Rmsprop,30,14,2,10,7
false,false,4,128,0.1,SGD,10,18,2,11,7
false,false,1,128,0.001,Rmsprop,30,15,2,12,7
true,false,2,256,0.1,SGD,10,19,2,13,7
false,false,1,128,0.001,Adam,10,13,2,15,7
false,false,2,128,0.001,Adam,10,15,2,15,7
true,false,8,256,0.001,Adam,20,11,2,17,7
true,false,4,128,0.001,Adam,20,26,2,17,7
false,false,8,128,0.001,Rmsprop,10,17,2,17,7
true,false,8,128,0.001,Adam,20,18,2,18,7
true,false,16,256,0.001,Rmsprop,20,13,2,21,7
true,false,1,256,0.001,Rmsprop,20,18,2,22,7
true,false,16,128,0.001,Rmsprop,30,13,2,23,7
false,false,2,256,0.01,Rmsprop,30,15,2,24,7
false,false,1,256,0.01,Rmsprop,20,15,2,25,7
false,false,1,128,0.001,Rmsprop,10,16,2,25,7
true,false,1,128,0.001,Rmsprop,30,16,2,26,7
false,false,16,256,0.01,Rmsprop,10,10,2,27,7
false,false,16,256,0.01,Rmsprop,20,14,2,28,7
true,false,2,128,0.001,Adam,20,10,2,29,7
false,false,4,128,0.01,Adam,30,27,2,31,7
false,false,4,128,0.01,Rmsprop,30,13,2,31,7
false,false,16,256,0.01,Adam,20,16,2,32,7
false,false,1,128,0.01,Rmsprop,20,15,2,32,7
false,false,4,128,0.01,Rmsprop,20,20,2,32,7
true,false,2,256,0.001,Rmsprop,20,10,2,36,7
false,false,8,256,0.01,Rmsprop,20,17,2,36,7
true,false,4,128,0.001,Rmsprop,20,14,2,43,7
false,false,16,256,0.01,SGD,30,9,2,71,7
true,false,2,256,0.01,Adam,10,14,3,0,6
true,false,8,256,0.01,Adam,30,26,3,0,6
true,false,1,256,0.1,Adam,10,27,3,0,6
true,false,8,256,0.1,Adam,30,34,3,0,6
true,false,16,256,0.1,Adam,30,23,3,0,6
true,false,8,128,0.01,Adam,30,16,3,0,6
true,false,4,128,0.1,Adam,10,29,3,0,6
false,false,2,128,0.001,Rmsprop,20,13,3,0,6
true,false,1,128,0.01,Rmsprop,20,18,3,0,6
true,false,8,256,0.01,Adam,10,26,3,1,6
true,false,16,256,0.1,Adam,10,22,3,1,6
true,false,2,256,0.01,Rmsprop,10,13,3,1,6
false,false,4,128,0.001,Adam,20,15,3,1,6
true,false,2,128,0.01,Rmsprop,20,25,3,1,6
true,false,2,128,0.01,Rmsprop,30,13,3,1,6
false,false,4,256,0.001,Adam,10,17,3,2,6
true,false,4,128,0.01,Adam,10,19,3,2,6
true,false,4,256,0.1,Adam,20,26,3,3,6
true,false,1,256,0.1,Rmsprop,20,31,3,3,6
true,false,2,256,0.1,Rmsprop,30,13,3,3,6
true,false,2,128,0.1,Adam,10,19,3,3,6
true,false,2,256,0.01,Rmsprop,20,15,3,4,6
true,false,16,256,0.1,Rmsprop,10,14,3,4,6
false,false,16,256,0.001,Adam,20,21,3,5,6
true,false,8,128,0.001,Adam,30,14,3,5,6
false,false,16,128,0.1,SGD,20,14,3,5,6
false,false,8,128,0.001,Rmsprop,30,22,3,6,6
false,false,8,128,0.1,SGD,30,16,3,6,6
false,false,16,128,0.1,SGD,10,21,3,6,6
false,false,2,256,0.1,SGD,20,17,3,8,6
false,false,8,128,0.001,Adam,30,18,3,8,6
false,false,1,256,0.1,SGD,10,18,3,9,6
false,false,16,256,0.1,SGD,20,17,3,9,6
true,false,1,128,0.001,Adam,30,11,3,9,6
false,false,16,128,0.01,Adam,10,25,3,9,6
true,false,8,128,0.1,Rmsprop,10,13,3,9,6
true,false,2,256,0.001,Adam,20,19,3,11,6
true,false,4,128,1.0,SGD,20,20,3,13,6
true,false,2,128,0.1,SGD,10,19,3,15,6
false,false,2,128,0.01,Adam,10,9,3,16,6
false,false,16,128,0.001,Rmsprop,10,18,3,16,6
true,false,1,128,0.1,SGD,10,11,3,16,6
false,false,4,128,0.001,Rmsprop,10,17,3,17,6
false,false,8,128,0.01,Adam,20,11,3,18,6
false,false,1,128,0.01,Adam,20,23,3,19,6
false,false,16,128,0.01,Adam,20,18,3,19,6
false,false,4,128,0.01,Adam,20,21,3,20,6
true,false,1,128,0.001,Adam,20,12,3,21,6
true,false,8,256,0.1,Adam,20,10,3,23,6
false,false,2,128,0.001,Rmsprop,10,9,3,24,6
false,false,1,128,0.01,Rmsprop,30,19,3,24,6
false,false,2,128,0.01,Rmsprop,10,14,3,24,6
true,false,8,128,0.001,Rmsprop,30,12,3,25,6
false,false,2,128,0.01,Rmsprop,20,12,3,25,6
false,false,16,128,0.01,Adam,30,12,3,26,6
false,false,4,256,0.01,Adam,10,17,3,27,6
true,false,4,256,0.001,Rmsprop,20,9,3,28,6
false,false,2,256,0.01,Rmsprop,10,16,3,28,6
false,false,16,128,0.01,Rmsprop,30,14,3,28,6
false,false,4,256,0.01,Rmsprop,10,10,3,29,6
false,false,1,128,0.01,Rmsprop,10,10,3,30,6
false,false,16,128,0.01,Rmsprop,20,10,3,35,6
true,false,16,128,0.001,Rmsprop,20,9,3,46,6
true,false,16,256,0.001,Adam,10,11,3,64,6
true,false,16,256,0.001,Rmsprop,10,9,3,71,6
true,false,1,128,0.001,Adam,10,6,3,73,6
true,false,1,128,0.001,Rmsprop,10,7,3,76,6
false,false,1,256,0.01,SGD,30,6,3,78,6
